"Project Name",Subtype,"Current Status","Capacity (MW)","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District
"Nam Tum 3",Hydro,Planned,15,,Thailand,"Thongcharoen Construction Development Company (Thailand)",,,," ",Laos,Phôngsali,Phongsaly
"Nam Tung",Hydro,Planned,12.5,,Thailand,"Malinitacharoensai Construction (Thailand)",,,," ",Laos,Bolikhamxai,Pakkading
"Nam Tung Torn Terng",Hydro,Planned,15,,Thailand,"LBSS Company (Thailand)",,,," ",Laos,Bolikhamxai,Pakkading
"Nam Turm",Hydro,Planned,5,,Thailand,"Simsaluk Advising Company Ltd  (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Wang",Hydro,Planned,5,,Thailand,"Pantaving Company (Thailand)",,,," ",Laos,Xiangkhoang,Kham
"Nam Wang",Hydro,Planned,1,,Thailand,"Bamtong Antay Company",,,," ",Laos,Houaphan,Xamneua
"Nam Xa (Thủy điện Nậm Xá)",Hydro,Operational,9.6,2015,Vietnam,"CÔNG TY CỔ PHẦN VÀ XÂY DỰNG LAM SƠN",,,," ",Vietnam,"Sơn La","Mường La"
"Nam Xam 4",Hydro,Planned,100,,"USA; Laos","Simon Consulting Co. (USA), Ltd, EDL (20 PCT stake) (Laos)",,,," ",Laos,Houaphan,Xamneua
"Nam Xan 1",Hydro,Planned,7,,Laos,"Intra Group (Laos)",,,," ",Laos,Bolikhamxai,Viengthong
"Nam Xaynoi",Hydro,Planned,14,,Thailand,"Namsodsamlord Suemtaifahraynoi (Thailand)",,,," ",Laos,Bolikhamxai,Viengthong
"Nam Xong",Hydro,Operational,6,,Laos,"Government, Luangpaseuth Co (Laos)",,,," ",Laos,"Vientiane [prefecture]",Xaythany
"Nam Xuang",Hydro,Operational,,,,,,,," ",Laos,"Vientiane [prefecture]",Naxaithong
"Nam Yam",Hydro,Planned,5,,"South Korea","DMD Company Ltd (South Korea)",,,," ",Laos,"Louang Namtha",Namtha
"Nam Yang",Hydro,Planned,5,,Thailand,"Pongpad Construction Transport and Hydropower Company Ltd (Thailand)",,,," ",Laos,Xaignabouri,Xayabury
"Nam Yerng",Hydro,Planned,15,,Thailand,"Tamtum (Thailand)",,,," ",Laos,Xékong,Lamarm
"Nam Yerng 5",Hydro,Planned,8,,Thailand,"MP (Thailand)",,,," ",Laos,Xékong,Lamarm
"Nam Yerng 7",Hydro,Planned,12,,Thailand,"MP (Thailand)",,,," ",Laos,Xékong,Lamarm
"Nam Yong",Hydro,Planned,9,,Thailand,"Naktao 2010 Company (Thailand)",,,," ",Laos,Houaphan,Xamneua
"Nam Yong",Hydro,Planned,5,,Thailand,"Sukkasem Construction and Transport Company Ltd (Thailand)",,,," ",Laos,Bolikhamxai,Viengthong
"Nam Yong 8",Hydro,Operational,60,2012,"Norway; Thailand; Laos","EDL 60 PCT (Laos), GMS Power 20 PCT (Thailand), Statkraf 20 PCT (Norway)",,,," ",Laos,Bolikhamxai,Khamkheuth
"Namhtwan (Upper)",Hydro,Operational,3.2,2019,Myanmar,"MOEP (Myanmar)",,,Switzerland,"STUCKY SA (Switzerland)",Myanmar,Kachin,Putao
"Namjae Tomlum 1",Hydro,"Under Construction",15,2019,Laos,"Right To Lao (Laos)",,,," ",Laos,"Louang Namtha",Namtha
"Namjae Tomlum 2",Hydro,"Under Construction",7.5,2019,Laos,"Right To Lao (Laos)",,,," ",Laos,"Louang Namtha",Namtha
"Namkha (Nam Hka)",Hydro,Planned,210,,China,"China Southern Power Grid Yunnan International Co",,,," ",Myanmar,Shan,Lasho
"Namnom 1",Hydro,"Under Construction",7.3,2018,Thailand,"Phongsapthawi and Chonlapathan Company Ltd (Thailand)",,,," ",Laos,Houaphan,Xamneua
Nampatay,Hydro,"Under Construction",14,2016,Laos,DSK,,,," ",Laos,Champasak,Pathoomphone
"Nampatay (Lum)",Hydro,"Under Construction",3,2016,Thailand,"Visahasuanbukkhon Songsermhattaka (Thailand)",,,," ",Laos,Houaphan,Xamneua
"Namperm 1",Hydro,"Under Construction",9.2,2017,Thailand,"Phongsapthawi Construction Company (Thailand), Devasatarn, Simsapatarn Ltd (Thailand)",,,," ",Laos,Houaphan,Xamneua
Namsay,Hydro,Planned,5,,Laos,"Vientiane Tangmo Construction Ltd (Laos)",,,," ",Laos,Bolikhamxai,Viengthong
"Namtabat 1 (Nam Tabak I)",Hydro,Planned,141,,"China; Myanmar","China Guodian, Tun Thwin Mining",,,"China; Myanmar","China Guodian (China)/Tun Thwin Mining(Myanmar)",Myanmar,Kachin,Myitkyina
"Namtabat 2 (Nam Tabak II)",Hydro,Planned,144,,"China; Myanmar","China Guodian, Tun Thwin Mining",,,"China; Myanmar","China Guodian (China)/Tun Thwin Mining(Myanmar)",Myanmar,Kachin,Myitkyina
Nancho,Hydro,Operational,40,2010,China,"Yunnan Machinery & Equipment Import & Export Co. (YMEC) (China)",,,," ",Myanmar,Mandalay,Yamethin
"Nansha dam",Hydro,Operational,150,2010,China,"Honghe Guangyuan Development Co. Ltd.；",China,,China,"#2 Guangdong Water and Hydropower Bureau, Xiantou City Naiyuan Construction Co. Litd, Dongguan City Changyuan Co. Ltd",China,Yunnan,"Honghe Hani and Yi"
"Naopha (Naung Pha)",Hydro,Planned,1200,,"China; Myanmar","Power Construction Corporation (China), International Group of Entrepreneurs (Myanmar)",,,China,"HydroChina Corp.",Myanmar,Shan,Lasho
"Naresuan Dam",Hydro,Operational,8,,Thailand,"EGAT (Thailand)",,,," ",Thailand,Phitsanulok,"Phrom Phiram"
"Natcore (nhà máy điện mặt trời Natcore)",Solar,Planned,200,2016,USA,"Natcore Technology (USA)",,,," ",Vietnam,"Bình Thuận","Phan Thiết"
"National Power Plant 11 Co., Ltd.",Biomass,Unknown,11,,Thailand,"National Power Plant 11 Co., Ltd.",,,," ",Thailand,Phetchabun,"Wichian Buri"
"National Power Plant 2 Co., Ltd.",Biomass,Unknown,8,,Thailand,"National Power Plant 2 Co., Ltd.",,,," ",Thailand,Phetchabun,"Wichian Buri"
"National Power Plant 3 Co., Ltd",Biomass,Unknown,41,,Thailand,"National Power Plant 3 Co., Ltd",,,," ",Thailand,Phetchabun,"Wichian Buri"
"National Power Plant 5 Co., Ltd.",Biomass,Unknown,50,,Thailand,"National Power Plant 5 Co., Ltd.",,,," ",Thailand,Phetchabun,"Wichian Buri"
"National Solar Park Project",Solar,"Under Construction",100,2021,Cambodia,EdC,ADB,ADB,Cambodia,"Prime Road Alternative",Cambodia,"Kampong Chhnang","Kampong Chhnang"
"Ngan Tae",Gas,Operational,230,2014,Myanmar,"Myanmar Lighting (Myanmar)","Thailand; Singapore","Siamgas and Petrochemicals Public Company (Thailand); United Overseas Bank (Singapore)",Singapore,"Asiatech Energy (Singapore)",Myanmar,Mon,Mawlamyine
Ngaphaipi,Hydro,Planned,30,,China,"PowerChina International (China)",,,," ",Myanmar,Chin,Palam
Ngayokekaung,Coal,Planned,540,,"Myanmar; Japan","A1 Group, Mitsubishi Corp.",,,," ",Myanmar,Ayeyarwady,Bassein
"Nghi Son 1 (Nhà máy Nhiệt điện Nghi Sơn 1)",Coal,Operational,600,2014,Vietnam,"EVN, Tập đoàn Điện lực Việt Nam Genco No 1",Japan,JICA,Japan,"Marbeni (Japan)",Vietnam,"Thanh Hóa","Tĩnh Gia"
"Nghi Son 2 (Nhà máy Nhiệt điện Nghi Sơn 2)",Coal,"Under Construction",1200,2022,"Japan; South Korea","Marubeni Corporation (Japan) & Korea Electric Power Company (South Korea) Tập đoàn Điện lực Hàn Quốc và Tập đoàn Marubeni","South Korea; Japan; Singapore; Malaysia","Export-Import Bank of Korea (Kexim); Japan Bank for International Cooperation (JBIC); DBS Bank (Singapore); Mizuho (Japan); MUFG (Japan); SMBC (Japan); Shinsei Bank (Japan); OCBC (Singapore); Maybank (Malaysia)",," ",Vietnam,"Thanh Hóa","Tĩnh Gia"
"Ngoi Hut 1",Hydro,Operational,8.4,2011,Vietnam,"Song Hong Joint Stock Corporation",,,," ",Vietnam,"Yên Bái","Văn Yên"
"Ngoi Hut 2",Hydro,Operational,48,2014,Vietnam,"Truong Thanh Investment Construction and Development JSC",,,," ",Vietnam,"Yên Bái","Mù Căng Chải"
"Ngoi Phat",Hydro,Operational,72,2014,Vietnam,"VINACONEX (Vietnam); Northern Electricity development and investment JSC. No.2",,,Vietnam,"VINACONEX (Vietnam)",Vietnam,"Lào Cai","Bát Xát"
"Ngoi Xan 1",Hydro,Operational,10.5,2007,Vietnam,"Nam Tien Lao Cai JSC.",,,," ",Vietnam,"Lào Cai","Bát Xát"
"Ngoi Xan 2",Hydro,Operational,8,2008,Vietnam,"Nam Tien Lao Cai JSC.",,,," ",Vietnam,"Lào Cai","Bát Xát"
"Nhi Ha Bitexco (Nhà máy điện mặt trời Nhị Hà Bitexco)",Solar,Planned,50,2019,Vietnam,"CT TNHH MTV Solar Power Ninh Thuận",,,," ",Vietnam,"Ninh Thuận","Thuận Nam"
"Nhi Ha Thuan Nam 13 (Nhà máy điện mặt trời Nhị Hà Thuận Nam 13)",Solar,Planned,50,2019,Vietnam,"CT TNHH MTV Solar Power Ninh Thuận",,,," ",Vietnam,"Ninh Thuận","Thuận Nam"
"Nho Que 1",Hydro,"Under Construction",36,,Vietnam,"Northern Electrical Development (Vietnam)",,,," ",Vietnam,"Hà Giang","Mèo Vạc"
"Nho Que 2",Hydro,Operational,48,,,,,,," ",Vietnam,"Hà Giang","Mèo Vạc"
"Nho Que 3",Hydro,Operational,110,,Vietnam,"Bitexco Group",,,," ",Vietnam,"Hà Giang","Mèo Vạc"
"Nhon Trach 1 (Điện lực Dầu khí Nhơn Trạch)",Gas,Operational,450,2008,Vietnam,"Can Tho Thermal Power Company (CTTP)",,,," ",Vietnam,"Đồng Nai","Nhơn Trạch"
"Nhon Trach 2 (Điện lực Dầu khí Nhơn Trạch)",Gas,Operational,760,2011,Vietnam,"Can Tho Thermal Power Company (CTTP)",,,," ",Vietnam,"Đồng Nai","Nhơn Trạch"
"Nhon Trach Formosa",Coal,Operational,150,2004,"Taipei, Taiwan; Vietnam","Hung Nghiep Formosa Hà Tĩnh Steel Corporation (Taiwan, Vietnam)",,,," ",Vietnam,"Đồng Nai","Nhơn Trạch"
"Nhà máy điện mặt trời thôn Vĩnh Nam, thôn Vĩnh Đông",Solar,Planned,50,2019,Vietnam,"Cty CP Năng Lượng AMI Khánh Hòa",,,," ",Vietnam,"Khánh Hòa","Cam Lâm"
"Nhà máy điện sinh khối Doosan - KCN Minh Hưng",Biomass,Operational,19,2015,"South Korea","Doosan Corp",,,," ",Vietnam,"Bình Phước","Chơn Thành"
"Ninh Binh (Nhà máy nhiệt điện Ninh Bình)",Coal,Operational,100,1974,Vietnam,"Công ty Cổ phần Nhiệt điện Ninh Bình, SPV subsidiary of Vietnam Electricity (EVN)",,,," ",Vietnam,"Ninh Bình","Ninh Bình"
"Ninh Binh 2 (Nhà máy nhiệt điện Ninh Bình mở rộng)",Coal,Cancelled,330,2015,Vietnam,"Công ty Cổ phần Nhiệt điện Ninh Bình, SPV subsidiary of Vietnam Electricity (EVN)",Japan,JICA,Japan,JICB,Vietnam,"Ninh Bình","Ninh Bình"
"Noen Po Solar Power Plant",Solar,Operational,5.6,,Thailand,"Gunkul Chubu Powergen Company Limited (Thailand)",,,," ",Thailand,Phichit,"Sam Ngam"
"Nong Khae",Gas,Operational,126,2000,Thailand,"EGCO (Electricity Generating Public Company, Ltd.)",,,," ",Thailand,Saraburi,"Nong Khae"
"Nong Khai 1 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power (Nong Khai 1) Company Limited (Thailand)",,,," ",Thailand,"Bueng Kan","Bung Khong Long"
"Nong Khai Solar Farm",Solar,Operational,6,,Thailand,"SPCG Public Company Limited (Thailand)",,,," ",Thailand,"Bueng Kan","Bung Khong Long"
"Nong On Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV9 Project (Thailand)",,,," ",Thailand,"Suphan Buri","U Thong"
"Nong Saeng",Gas,Operational,1600,2014,Japan,"Gulf JP NS (owned by J-Power etc.)","Japan; ADB","JBIC; ADB",," ",Thailand,Saraburi,"Nong Saeng"
"Nong Seuam",Hydro,Operational,,,,,,,," ",Laos,"Vientiane [prefecture]",Xaythany
"Nong Son (Nhà máy nhiệt điện Nông Sơn)",Coal,Operational,30,2014,Vietnam,"Vinamomin (Vietnam)",,,," ",Vietnam,"Quảng Nam","Nông Sơn"
"Nongkrathum 4 Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV4 Project (Thailand)",,,," ",Thailand,"Suphan Buri","Doembang Nangbua"
"Nongkrathum 5 Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV5 Project (Thailand)",,,," ",Thailand,"Suphan Buri","Doembang Nangbua"
"Nongyasai Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV3 Project (Thailand)",,,," ",Thailand,"Suphan Buri","Nong Ya Sai"
"North Bangkok (Block 1-2",Gas,Operational,1552.3,2016,Thailand,"EGAT (Thailand)",,,," ",Thailand,Nonthaburi,"Bang Kruai"
"North Bangkok Power Station",Gas,Operational,704,2010,Thailand,"Electric Generating Authority of Thailand",,,," ",Thailand,Nonthaburi,"Bang Kruai"
"Nuoc Trong",Hydro,Operational,16.5,2012,Vietnam,"Nuoc Trong Hydropower JSC",,,," ",Vietnam,"Quảng Ngãi","Sơn Hà"
Nuozhadu,Hydro,Operational,5850,2012,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,Pu'er
"O Chum II",Hydro,Operational,1,,,,,,," ",Cambodia,"Ratanak Kiri","Ou Chum"
"O Mon 1 (Nhà Máy Nhiệt Điện Ô Môn)",Gas,Operational,660,2015,Vietnam,"EVN GENCO 2 - Vietnam Electricity (EVN)",,,," ",Vietnam,"Cần Thơ","Ô Môn"
"O Mon 2 (Nhà Máy Nhiệt Điện Ô Môn)",Gas,Planned,1050,2026,"Vietnam; Japan","EVN, Vietracimex-Marubeni","Vietnam; Japan","EVN, Vietracimex, JICA",," ",Vietnam,"Cần Thơ","Ô Môn"
"O Mon 3 (Nhà Máy Nhiệt Điện Ô Môn)",Gas,Planned,1050,2022,Vietnam,EVN,,,," ",Vietnam,"Cần Thơ","Ô Môn"
"O Mon 4 (Nhà Máy Nhiệt Điện Ô Môn)",Gas,Planned,1050,2023,Vietnam,EVN,"Germany; ADB","ADB; KfW(Germany)",," ",Vietnam,"Cần Thơ","Ô Môn"
"O Phlai I",Hydro,Planned,5,,,,,,," ",Cambodia,"Ratanak Kiri","Ou Chum"
"O Phlai II",Hydro,Planned,4,,,,,,," ",Cambodia,Mondulkiri,"Ou Reang"
"O Phlai III",Hydro,Planned,5,,,,,,," ",Cambodia,Mondulkiri,"Ou Reang"
"O Phlai IV",Hydro,Planned,7,,,,,,," ",Cambodia,Mondulkiri,"Pechr Chenda"
"O Sla",Hydro,Planned,2,,,,,,," ",Cambodia,Mondulkiri,"Pechr Chenda"
"O Tourou Trav",Hydro,Planned,1,,,,,,," ",Cambodia,Kampot,"Tuek Chhou"
"Oak Kan",Wind,Planned,50,,China,"China Three Gorges (China)",,,," ",Myanmar,Yangon,Yangon-N
"OASIS Factory Rooftop Installation (Hệ Thống Điện Mặt Trời Áp Mái Tại Công Ty TNHH May OASIS)",Solar,Operational,0.23,2017,Vietnam,"SolarESCO (a Solar BK subsidiary) (Vietnam)",Vietnam,"Solar ESCO (Vietnam) (corporate finance) using IFC model",," ",Vietnam,"Hồ Chí Minh","Củ Chi"
"Oddar Meanchey Coal Plant",Coal,"Under Construction",265,2021,"Cambodia; China","Han Seng Coal Mine Company, Electricite Du Cambodge, Guodian Kangneng",Cambodia,"Han Seng Coal Mine","Cambodia; China","Han Seng Coal Mine Company, Guodian Kangneng Technology",Cambodia,"Oddar Meanchey","Anlong Veaeng"
Oromis-Oromleng,Hydro,Operational,0.37,2008,Japan,J-Power,,,," ",Cambodia,Mondulkiri,"Saen Monourom"
"P.S. CH. Biogas Plant",Waste,Unknown,1,,Thailand,"P.S. CH. Food Products Co. Ltd.",,,," ",Thailand,"Si Sa Ket","Khun Han"
"P.S. CH. Biogas Plant",Waste,Unknown,1,,Thailand,"P.S. CH. Food Products Co. Ltd.",,,," ",Thailand,"Si Sa Ket","Khun Han"
"Pa Chien (Thủy điện Pá Chiến)",Hydro,Operational,22,2013,Vietnam,"Pa Chien Hydro Power JSC.",,,," ",Vietnam,"Sơn La","Mường La"
"Pac Ma (Thủy điện Pắc Ma)",Hydro,Operational,140,2020,Vietnam,"Công ty cổ phần thủy điện Pắc Ma",,,Vietnam,"Công ty cổ phần Sông Đà 4",Vietnam,"Lai Châu","Mường Tè"
"Pae Tin Wa",Hydro,Planned,30,,China,"PowerChina International (China)",,,," ",Myanmar,Chin,Mindat
"Pak Beng",Hydro,Planned,912,2025,"China; Laos","China Datang Overseas (81 PCT), Lao Government (19 PCT)",,,"China; Laos","Datang Pak Beng Hydropower Co., Ltd.",Laos,Oudômxai,Pakbeng
"Pak Chom",Hydro,Planned,1076,,Thailand,"Thai Developer (Thailand)",,,," ",Laos,"Vientiane [prefecture]",Sangthong
"Pak Lay",Hydro,Planned,770,2029,China,"CEIEC, POWERCHINA",China,"China EXIM Bank (China)",China,"Power Construction Corp (China)",Laos,Xaignabouri,Parklai
"Pak Mun Dam",Hydro,Operational,136,1993,Thailand,"EGAT (Thailand)","World Bank Group","World Bank Group",," ",Thailand,"Ubon Ratchathani","Khong Chiam"
"Pak Ngum",Hydro,Planned,70,,Laos,"Vientiane Automation (Laos)",,,," ",Laos,"Vientiane [prefecture]",Mayparkngum
"Pak Phanang",Wind,Operational,10,2018,Thailand,"BCPG PLC",,,," ",Thailand,"Nakhon Si Thammarat","Pak Phanang"
"Pakthongchai  Solar Project",Solar,Unknown,9,,Thailand,"Bangkhenchai Co., Ltd.",,,," ",Thailand,"Nakhon Ratchasima","Pak Thong Chai"
"Panare Power Station",Coal,Planned,1000,2034,Thailand,"EGAT (Thailand)",,,," ",Thailand,Pattani,Panare
Pantai,Solar,Operational,5,2015,Thailand,"Enmax Holding (Thailand) Co Ltd., GCL-SI ( (Thailand))",,,China,"GCL-SI (China)",Thailand,Pattani,"Muang Pattani"
"Pasak Jolasid Dam",Hydro,Operational,6.7,1999,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Lop Buri","Phatthana Nikhom"
Pathein,Coal,Planned,660,,India,"Tata Power Pathein (India)",,,," ",Myanmar,Ayeyarwady,Bassein
"Patthalung Green Power Company Limited",Biomass,Unknown,9.2,2013,Thailand,"Patthalung Green Power Company Limited (holding company is TPC Power Holding PLC, additional shareholder is Wood Work Energy Co. Ltd.)",,,,"Stepwise Energy Management Co,",Thailand,Phatthalung,"Pa Bon"
"Paunglaung (Lower)",Hydro,Operational,280,2005,Myanmar,"MOEE/MOALI (Myanmar)",China,"China Exim Bank (China)",China,"Yunnan Machinery Equipment Import and Export Company/Power Construction Corp (China)",Myanmar,Mandalay,Yamethin
"Paunglaung (Middle)",Hydro,Planned,152,,Singapore,"Energize Myanmar (Singapore)",,,," ",Myanmar,Shan,Taunggye
"Paunglaung (Upper)",Hydro,Operational,140,2015,Myanmar,"MEPE (Myanmar)",China,"China Exim Bank (China)","China; Switzerland; United Kingdom; Germany","Yunnan Machinery Import Export/COLENCO/Power Construction Corp, China Swiss company AF Colenco ;Yunnan Machinery Export Company; British:Malcolm Dunstan and Associates; German: FOSCE Consulting Engineers (China)",Myanmar,Mandalay,Yamethin
Pekon,Wind,Planned,950,,Thailand,"Gunkul Public Engineering Co. (Thailand)",,,," ",Myanmar,Shan,Taunggye
"Pha Bong Solar Power Plant",Solar,Operational,0.5,,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Mae Hong Son","Muang Mae Hong Son"
"Pha Lai 1 (Nhiệt điện Phả Lại 1)",Coal,Operational,440,1986,Vietnam,"Công ty Cổ Phần Nhiệt Điện Phả Lại",Russia,"Russian financier",Russia,"Russian company",Vietnam,"Bắc Ninh","Gia Bình"
"Pha Lai 2 Nhiệt điện Phả Lại 2)",Coal,Operational,600,2001,Vietnam,"Công ty Cổ Phần Nhiệt Điện Phả Lại",Japan,JICA,Vietnam,"Lilama Construction Company (Vietnam)",Vietnam,"Bắc Ninh","Gia Bình"
"Phan Lam (Nhà máy điện mặt tròi Phan Lâm)",Solar,Operational,49,2019,Vietnam,"CT TNHH Năng Lượng Phan Lâm",,,," ",Vietnam,"Bình Thuận","Bắc Bình"
"Phan Lam 2 (Nhà máy điện mặt tròi Phan Lâm 2)",Solar,Operational,49,2019,Vietnam,"CT TNHH Năng Lượng Phan Lâm",,,," ",Vietnam,"Bình Thuận","Bắc Bình"
"Phanom Thuan Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV8 Project  (Thailand)",,,," ",Thailand,Kanchanaburi,"Phanom Thuan"
"Phetchabun Wind Farm",Wind,Operational,60,2016,Thailand,"EGAT (Thailand)",,,," ",Thailand,Phetchabun,"Khao Kho"
"Phetchaburi Solar Power Plant",Solar,Operational,2.1,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,Phetchaburi,Cha-Am
"Phitsanulok Solar Farm",Solar,Operational,90,2017,Thailand,"Energy Absolute (Thailand)",,,," ",Thailand,Phitsanulok,"Phrom Phiram"
"Phnom Batau",Hydro,Planned,4,,,,,,," ",Cambodia,"Koh Kong","Srae Ambel"
"Phnom Penh Diesel",Oil,Operational,18.6,1996,"Finland; Japan","Wartsila Diesel Group (Finland), Marubeni Corporation (Japan)",ADB,ADB,," ",Cambodia,"Phnom Penh","Ruessei Kaev"
"Phon Thong power station",Biomass,Operational,9.9,2012,Thailand,"Advance Clean Power Co., Ltd.",,,," ",Thailand,"Roi Et","Phon Thong"
"Phong Huy 1 (Nhà máy điện gió Phong Huy 1)",Wind,Planned,48,2021,Vietnam,"Công ty CP Điện gió Phong Nguyên (Vietnam)",,,," ",Vietnam,"Quảng Trị","Hướng Hóa"
"Phong Huy 2 (Nhà máy điện gió Phong Huy 2)",Wind,Planned,48,2021,Vietnam,"Công ty cổ phần Điện gió Phong Huy (Vietnam)",,,," ",Vietnam,"Quảng Trị","Hướng Hóa"
"Phong Lieu (Nhà máy điện gió Phong Liệu)",Wind,Planned,48,2021,Vietnam,"Công ty CP điện gió Phong Liệu (Vietnam)",,,," ",Vietnam,"Quảng Trị","Hướng Hóa"
"Phong Nguyen (Nhà máy điện gió Phong Nguyên)",Wind,"Under Construction",48,,Vietnam,"Công ty cổ phần Điện gió Phong Nguyên",,,," ",Vietnam,"Quảng Trị","Hướng Hóa"
"Photovoltaic Power Generation Project at Tumbol Cham Phak Phaeo",Solar,Unknown,5.75,,Thailand,"Infinite Green Co. Ltd.",,,," ",Thailand,Saraburi,"Kaeng Khoi"
"Photovoltaic Power Generation Project at Tumbol HuaiHaeng",Solar,Unknown,5.74,,Thailand,"Infinite Green Co. Ltd.",,,," ",Thailand,Saraburi,"Kaeng Khoi"
"Phrae Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited (TSE)",,,," ",Thailand,Phrae,"Muang Phrae"
"Phrom Thep Cape",Wind,Operational,20,2008,Thailand,"EGAT (Thailand)",,,," ",Thailand,Phuket,"Muang Phuket"
"Phromthep Cape Renewable Energy Power Plant",Solar,Operational,8,1996,Thailand,"EGAT (Thailand)",,,," ",Thailand,Phuket,"Muang Phuket"
"Phromthep Cape Renewable Energy Power Plant",Wind,Operational,0.15,1996,Thailand,"EGAT (Thailand)",,,," ",Thailand,Phuket,"Muang Phuket"
"Phu Khieo Bio-Energy Co-generation Project",Biomass,Unknown,29,,"Thailand; United Kingdom","Phu Khieo Bio-Energy Company Limited (subsidiary of Mitr Phol Sugar); Trading Emissions PLC",,,," ",Thailand,Chaiyaphum,"Phu Khieo"
"Phu Lac (Điện gió Phú Lạc)",Wind,Operational,24,2016,Vietnam,"Thuan Binh Wind Power JSC (Công ty Cổ phần Phong điện Thuận Bình), an EVN’s affiliate (Vietnam)",Germany,"Kreditanstalt für Wiederaufbau KfW",," ",Vietnam,"Bình Thuận","Tuy Phong"
"Phu My 1 (Nhà Máy Nhiệt Điện Phú Mỹ 1)",Gas,Operational,1089,2000,Vietnam,"EVN (Vietnam)",Japan,JICA,Japan,"Mitsubishi Heavy Industries (Japan)",Vietnam,"Bà Rịa - Vũng Tàu","Tân Thành"
"Phu My 2.1 (Nhà Máy Nhiệt Điện Phú Mỹ 2 )",Gas,Operational,860,2002,Vietnam,"EVN (Vietnam)","World Bank Group","World Bank Group","Germany; Japan","Siemens (Germany), Mitsui (Japan)",Vietnam,"Bà Rịa - Vũng Tàu","Tân Thành"
"Phu My 2.2 (Nhà Máy Nhiệt Điện Phú Mỹ 2)",Gas,Operational,720,2004,"France; Japan","Mekong Energy Limited (France, Japan)","World Bank Group","World Bank Group",," ",Vietnam,"Bà Rịa - Vũng Tàu","Tân Thành"
"Phu My 3 (Nhà Máy Nhiệt Điện Phú Mỹ 3)",Gas,Operational,720,2004,"United Kingdom","TNK BP (UK)","Japan; ADB","ADB; JICB (Japan); Nippon Export and Investment Insurance (Japan)",Germany,"Siemens (Germany)",Vietnam,"Bà Rịa - Vũng Tàu","Tân Thành"
"Phu My 4 (Nhà Máy Nhiệt Điện Phú Mỹ 4)",Gas,Operational,458,2004,Vietnam,"EVN (Vietnam)",,,"USA; Japan","Alstom (US) and Marubeni (Japan)",Vietnam,"Bà Rịa - Vũng Tàu","Tân Thành"
"Phu My solar power plant",Solar,Operational,330,2020,Vietnam,"BCG Energy",,,,,Vietnam,"Bình Định","Phù Mỹ"
"Phu Ngoy",Hydro,Planned,651,2025,"Thailand; China; Laos","Charoen Energy and Water Asia Co., Ltd. (China Datong Overseas (81 PCT) and Lao Government (19 PCT))",,,"South Korea","Doosan Heavy Industries & Construction",Laos,Champasak,Pathoomphone
"Phu Quy (Điện gió Phú Quý)",Wind,Operational,6,2012,Vietnam,"Petrovietnam (Vietnam)",,,," ",Vietnam,"Bình Thuận","Phú Quí"
"Phu Tho (Nhiệt điện Phú Thọ)",Coal,Cancelled,600,2017,,,,,," ",Vietnam,"Phú Thọ","Việt Trì"
